金山区,Jinshan District
九江,Jiujiang
两江新区,Liangjiang New Area
庆阳,Qingyang
固原,Guyuan
临夏,Linxia
平顶山,Pingdingshan
莆田,Putian
益阳,Yiyang
三亚,Sanya
合肥,Hefei
临高,Lingao County
石家庄,Shijiazhuang
儋州,Danzhou
甘孜州,Garzê Tibetan Autonomous Prefecture
怀柔区,Huairou District
武清区,Wuqing District
萍乡,Pingxiang
嘉兴,Jiaxing
大同,Datong
吕梁,Lüliang
黑河,Heihe
东城区,Dongcheng District
云阳县,Yunyang County
常州,Changzhou
琼海,Qionghai
济宁,Jining
雅安,Ya'an
公主岭,Gongzhuling
运城,Yuncheng
浦东新区,Pudong District
崇明区,Chongming District
吉林市,Jilin
河东区,Hedong District
保亭,Baoting Li and Miao Autonomous County
宜宾,Yibin
大足区,Dazu District
红桥区,Hongqiao District
酉阳县,Youyang Tujia and Miao Autonomous County
外地来京人员,People from other cities
顺义区,Shunyi District
邯郸,Handan
绥化,Suihua
铜梁区,Tongliang District
枣庄,Zaozhuang
衡阳,Hengyang
普洱,Pu'er
宿州,Suzhou
安顺,Anshun
鹰潭,Yingtan
唐山,Tangshan
潮州,Chaozhou
九龙坡区,Jiulongpo District
黔西南州,Qianxinan
淮安,Huainan
济源,Jiyuan
昭通,Zhaotong
郴州,Chenzhou
景德镇,Jingdezhen
厦门,Xiamen
黄浦区,Huangpu District
安阳,Anyang
乐东,Ledong Li Autonomous County
内江,Neijiang
宜昌,Yichang
贺州,Hezhou
泉州,Quanzhou
鄂州,Ezhou
荣昌区,Rongchang District
眉山,Meishan
商丘,Shangqiu
南昌,Nanchang
防城港,Fangchenggang
德阳,Deyang
南岸区,Nan'an District
绍兴,Shaoxing
蚌埠,Bengbu
巴彦淖尔,Bayannur
万州区,Wanzhou District
聊城,Liaocheng
廊坊,Langfang
资阳,Ziyang
衢州,Quzhou
亳州,Bozhou
吴忠,Wuzhong
梅河口,Meihekou
澳门,Macau
柳州,Liuzhou
延庆区,Yanqing District
涪陵区,Fuling District
江津区,Jiangjin District
石柱县,Shizhu Tujia Autonomous County
宝鸡,Baoji
佳木斯,Jiamusi
咸宁,Xianning
赣江新区,Ganjiang New District
池州,Chizhou
虹口区,Hongkou District
石景山区,Shijingshan District
澄迈,Chengmai County
盘锦,Panjin
宣城,Xuancheng
吉安,Ji'an
漯河,Luohe
扬州,Yangzhou
鹤岗,Hegang
中山,Zhongshan
昌江,Changjiang Li Autonomous County
烟台,Yantai
赣州,Ganzhou
泰安,Tai'an
渭南,Weinan
昌平区,Changping District
泰州,Taizhou
梅州,Meizhou
金华,Jinhua
大渡口区,Dadukou District
伊犁州,Yili
包头,Baotou
江北区,Jiangbei District
南平,Nanping
大兴安岭,Daxinganling
丽水,Lishui
东丽区,Dongli District
绵阳,Mianyang
门头沟区,Mentougou District
保定,Baoding
锦州,Jinzhou
綦江区,Qijiang District
武隆区,Wulong District
宁德,Ningde
奉节县,Fengjie County
万盛经开区,Wansheng District
榆林,Yulin
海北州,Haibei
巴中,Bazhong
铁岭,Tieling
驻马店,Zhumadian
兵团第八师石河子市,"Shihezi
乌鲁木齐,Urumqi
菏泽,Heze
辽阳,Liaoyang
济南,Jinan
河西区,Hexi District
安庆,Anqing
白银,Baiyin
牡丹江,Mudanjiang
葫芦岛,Huludao
淮北,Huaibei
兵团第六师五家渠市,"Wujiaqu
黔江区,Qianjiang Tujia and Miao Autonomous County
通州区,Tongzhou District
湘潭,Xiangtan
奉贤区,Fengxian District
黄冈,Huanggang
太原,Taiyuan
三明,Sanming
桂林,Guilin
万宁,Wanning
常德,Changde
宁东,Ningdong County
待明确地区,Area not defined
临沧,Lincang
巴南区,Banan District
宝坻区,Baodi District
黔东南州,Qiandongnan
秦皇岛,Qinhuangdao
德宏州,Dehong
昆明,Kunming
闵行区,Minhang District
湖州,Huzhou
邵阳,Shaoyang
彭水县,Pengshui Miao and Tujia Autonomous County
锡林郭勒盟,Linguolexi
外地来津人员,People from other cities
淄博,Zibo
潼南区,Tongnan District
宁河区,Ninghe District
嘉定区,Jiading District
辽源,Liaoyuan
合川区,Hechuan District
巫溪县,Wuxi County
七台河,Qitaihe
宿迁,Suqian
甘南,Gannan
百色,Baise
抚州,Fuzhou
承德,Chengde
鞍山,Anshan
西城区,Xicheng District
茂名,Maoming
定安,Ding'an County
滨海新区,Binhai New Area
北海,Beihai
长治,Changzhi
兰州,Lanzhou
十堰,Shiyan
和平区,Heping District
伊春,Yichun
周口,Zhoukou
洛阳,Luoyang
娄底,Loudi
宁波,Ningbo
马鞍山,Ma'anshan
连云港,Lianyungang
南宁,Nanning
延边,Yanbian
汉中,Hanzhong
湘西自治州,Xiangxi
潍坊,Weifang
六盘水,Liupanshui
垫江县,Dianjiang County
松原,Songyuan
舟山,Zhoushan
朔州,Shuozhou
兴安盟,Xinganmeng
曲靖,Qujing
上饶,Shangrao
开封,Kaifeng
双鸭山,Shuangyashan
长沙,Changsha
忻州,Xinzhou
乌兰察布,Ulanqab
青浦区,Qingpu District
呼和浩特,Hohhot
泸州,Luzhou
信阳,Xinyang
揭阳,Jieyang
陇南,Longnan
松江区,Songjiang District
盐城,Yancheng
南开区,Nankai District
阜阳,Fuyang
玉林,Yulin
沧州,Cangzhou
东方,Dongfang
省十里丰监狱,Shilifeng Prison
南阳,Nanyang
天水,Tianshui
大理州,Dali
韶关,Shaoguan
丽江,Lijiang
昌吉州,Changji
巴州,Bayingolin Mongol Autonomous Prefecture
河源,Heyuan
乌海市,Wuhai
丰台区,Fengtai District
琼中,Qiongzhong Li and Miao Autonomous County
本溪,Benxi
河池,Hechi
阿坝州,Ngawa Tibetan and Qiang Autonomous Prefecture
来宾,Laibin
宝山区,Baoshan District
兵团第七师,Xinjiang Production and Construction Corps 7th Division
大庆,Daqing
长宁区,Changning District
密云区,Miyun District
沈阳,Shenyang
焦作,Jiaozuo
临沂,Linyi
衡水,Hengshui
鸡西,Jixi
高新区,Chongqing High-tech Zone
南充,Nanchong
自贡,Zigong
汕尾,Shanwei
渝北区,Yubei District
哈尔滨,Harbin
宜春,Yichun
西青区,Xiqing District
苏州,Suzhou
威海,Weihai
岳阳,Yueyang
汕头,Shantou
陵水,Lingshui Li Autonomous County
咸阳,Xianyang
丹东,Dandong
长寿区,Changshou District
呼伦贝尔,Hulunbuir
濮阳,Puyang
朝阳,Chaoyang
达州,Dazhou
阳江,Yangjiang
张家口,Zhangjiakou
广州,Guangzhou
郑州,Zhengzhou
日照,Rizhao
铜仁,Tongren
临汾,Linfen
阿克苏地区,Akesu
遂宁,Suining
新余,Xinyu
株洲,Zhuzhou
商洛,Shangluo
安康,Ankang
静安区,Jing'an District
鄂尔多斯,Ordos
银川,Yinchuan
徐汇区,Xuhui District
齐齐哈尔,Qiqihar
许昌,Xuchang
外地来沪人员,People from other cities
钦州,Qinzhou
普陀区,Putuo District
通辽,Tongliao
阜新,Fuxin
张掖,Zhangye
广元,Guangyuan
兵团第十二师,Xinjiang Production and Construction Corps 12th Division
湛江,Zhanjiang
梁平区,Liangping District
大连,Dalian
潜江,Qianjiang
晋中,Jinzhong
金昌,Jinchang
随州,Suizhou
凉山州,Liangshan Yi Autonomous Prefecture
阳泉,Yangquan
玉溪,Yuxi
西安,Xi'an
璧山区,Bishan District
新乡,Xinxiang
文山州,Wenshan
台州,Taizhou
镇江,Zhenjiang
襄阳,Xiangyang
楚雄州,Chuxiong
贵港,Guigang
南京,Nanjing
黄石,Huangshi
河北区,Hebei District
清远,Qingyuan
武汉,Wuhan
邢台,Xingtai
忠县,Zhong County
芜湖,Wuhu
漳州,Zhangzhou
乐山,Leshan
广安,Guang'an
遵义,Zunyi
毕节,Bijie
定西,Dingxi
晋城,Jincheng
荆门,Jingmen
德州,Dezhou
营口,Yingkou
龙岩,Longyan
黄山,Huangshan
永州,Yongzhou
沙坪坝区,Shapingba District
淮南,Huainan
东莞,Dongguan
徐州,Xuzhou
吐鲁番市,Turpan
中卫,Zhongwei
兵团第四师,Xinjiang Production and Construction Corps 4th Division
拉萨,Lhasa
黔南州,Qiannan
韩城,Hancheng
珠海,Zhuhai
天门,Tianmen
神农架林区,Shennongjia
城口县,Chengkou County
攀枝花,Panzhihua
石嘴山,Shizuishan
铜陵,Tongling
南通,Nantong
六安,Lu'an
凉山,Liangshan
梧州,Wuzhou
白城,Baicheng
红河州,Honghe
文昌,Wenchang
肇庆,Zhaoqing
西宁,Xining
恩施州,Enshi Tujia and Miao Autonomous Prefecture
三门峡,Sanmenxia
津南区,Jinnan District
房山区,Fangshan District
海淀区,Haidian District
秀山县,Xiushan Tujia and Miao Autonomous County
北辰区,Beichen District
温州,Wenzhou
延安,Yan'an
深圳,Shenzhen
平凉,Pingliang
保山,Baoshan
福州,Fuzhou
西双版纳,Xishuangbanna
无锡,Wuxi
海口,Haikou
贵阳,Guiyang
成都,Chengdu
铜川,Tongchuan
长春,Changchun
渝中区,Yuzhong District
杨浦区,Yangpu District
巫山县,Wushan County
滨州,Binzhou
仙桃,Xiantao
张家界,Zhangjiajie
塔城,Tacheng
佛山,Foshan
江门,Jiangmen
鹤壁,Hebi
杨凌,Yangling District in Xianyang
通化,Tonghua
青岛,Qingdao
惠州,Huizhou
永川区,Yongchuan District
丰都县,Fengdu County
荆州,Jingzhou
朝阳区,Chaoyang District
赤峰,Chifeng
四平市,Siping
孝感,Xiaogan
杭州,Hangzhou
开州区,Kaizhou District
大兴区,Daxing District
怀化,Huaihua
兵团第九师,Xinjiang Production and Construction Corps 9th Division
滁州,Chuzhou
